"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez_Gene_ID","Mean_RRMS","Mean_SPMS","Delta_abs"
"ILMN_2094718",1542.72483888889,8743.21201785714,1.83640472070611,0.0717050534831207,0.999537311363859,-4.59179288194314,"TPT1",7178,8192.23886111111,9734.9637,1542.72483888889
"ILMN_1687738",1167.92010555555,3145.23294285714,1.91847488906952,0.0602477125977993,0.999537311363859,-4.59138016589985,"LOC650276",650276,2728.11861944444,3896.038725,1167.92010555556
"ILMN_1686954",1158.95407777778,6289.79564285714,1.57446162350252,0.121116597619419,0.999537311363859,-4.59301444305241,"RPS10",6204,5875.88347222222,7034.83755,1158.95407777778
"ILMN_1715926",-1061.72407222222,13719.4105535714,-1.12691557921934,0.264671301662756,0.999537311363859,-4.59472909509831,"LOC642210",642210,14098.5977222222,13036.87365,1061.72407222222
"ILMN_1737015",1060.852485,3244.7575625,1.67242069520747,0.100121883092038,0.999537311363859,-4.59257525429267,"RPL39",6170,2865.881675,3926.73416,1060.852485
"ILMN_1782621",-1058.47935555556,14558.5072142857,-1.76870596433203,0.0824885719003802,0.999537311363859,-4.59212284874129,"RPS12",6206,14936.5355555556,13878.0562,1058.47935555556
"ILMN_1656807",993.228361111111,3464.08130357143,1.68641984308763,0.0973806379378989,0.999537311363859,-4.5925107356918,"RPL27",6155,3109.35688888889,4102.58525,993.228361111111
"ILMN_1777190",-955.831611111111,3387.68342857143,-1.64286879426577,0.106116265494544,0.999537311363859,-4.59271002309273,"CFD",1675,3729.05186111111,2773.22025,955.831611111111
"ILMN_1652230",951.831483333332,5162.44723214286,1.3156120650169,0.193762656503844,0.999537311363859,-4.59406682042203,"LOC647361",647361,4822.50741666667,5774.3389,951.831483333333
"ILMN_2207539",949.848800555555,2346.26015892857,2.06248333724746,0.0438976963289069,0.999537311363859,-4.59062377711073,"RPS17",6218,2007.02844444444,2956.877245,949.848800555556
"ILMN_1729801",876.783866666666,8779.23842857143,0.779411685601947,0.439078520588681,0.999537311363859,-4.59570019963971,"S100A8",6279,8466.10133333333,9342.8852,876.783866666667
"ILMN_1744604",-851.205988888889,6776.70525,-2.01141560262625,0.0491924445786439,0.999537311363859,-4.59089657126507,"CYBA",1535,7080.70738888889,6229.5014,851.205988888889
"ILMN_1782788",849.623427777777,8125.53841071429,1.07471459034788,0.287195204639864,0.999537311363859,-4.59489592832236,"CSDA",8531,7822.10147222222,8671.7249,849.623427777777
"ILMN_1662932",-836.703616666666,13687.1164464286,-1.1431178496497,0.257941553549635,0.999537311363859,-4.5946758478112,"LCP1",3936,13985.9391666667,13149.23555,836.703616666666
"ILMN_1673638",795.145445,1777.66899107143,1.92902805328052,0.0588941655779456,0.999537311363859,-4.59132610939644,"RPS3A",6189,1493.688475,2288.83392,795.145445
"ILMN_1696839",771.987333333333,6733.45617857143,0.904522139539333,0.369664067032635,0.999537311363859,-4.59538886777575,"RPS27",6232,6457.74641666667,7229.73375,771.987333333333
"ILMN_1808939",767.024094444444,4885.63298214286,1.69903532318378,0.0949634236140757,0.999537311363859,-4.59245222409081,"RPS6",6194,4611.69580555556,5378.7199,767.024094444445
"ILMN_1746516",-726.817744444445,9814.09092857143,-0.715637303838017,0.477242883693979,0.999537311363859,-4.59584187388077,"RPS25",6230,10073.6686944444,9346.85095,726.817744444445
"ILMN_2326071",720.325349999999,5447.88830357143,1.18692233013436,0.240360115181093,0.999537311363859,-4.59452844611975,"MYL6",4637,5190.62925,5910.9546,720.32535
"ILMN_1760714",718.96541111111,8176.3175,1.26309640353423,0.211883490322113,0.999537311363859,-4.59426029529731,"RPS3",6188,7919.54413888889,8638.50955,718.965411111112
"ILMN_2331890",710.664277777777,4417.32789285714,1.07153414944082,0.288609270148767,0.999537311363859,-4.59490585871117,"RPL41",6171,4163.51922222222,4874.1835,710.664277777778
"ILMN_1755883",-709.013894444445,6712.36794642857,-1.33545544031657,0.187228497491712,0.999537311363859,-4.59399191188681,"RPS27A",6233,6965.58719444444,6256.5733,709.013894444444
"ILMN_1805668",-708.505872222221,8725.97316071429,-1.059105571792,0.29418137022891,0.999537311363859,-4.59494440544904,"ZNF486",90649,8979.01097222222,8270.5051,708.505872222222
"ILMN_1711156",-679.938933333333,9638.35175,-1.34915973653844,0.182814376959101,0.999537311363859,-4.59393960596569,"LOC645895",645895,9881.18708333333,9201.24815,679.938933333335
"ILMN_2165753",-678.258575989444,3757.65494670893,-0.720812240962021,0.474078050402064,0.999537311363859,-4.59583081093329,"HLA-A29.1",649853,3999.89015241944,3321.63157643,678.258575989444
"ILMN_1778977",-658.847905555555,11623.0394821429,-1.21545757524676,0.229383763234299,0.999537311363859,-4.59442974283143,"TYROBP",7305,11858.3423055556,11199.4944,658.847905555556
"ILMN_1769277",656.3879,1248.77635,2.01070361957715,0.04926999716009,0.999537311363859,-4.59090033959896,"LOC651436",651436,1014.3521,1670.74,656.3879
"ILMN_1773906",653.197633333333,8446.77853571429,1.2924889913729,0.201592095650334,0.999537311363859,-4.59415286593418,"NCOA4",8031,8213.49366666667,8866.6913,653.197633333333
"ILMN_2142815",652.531277777777,3293.98260714286,1.65756250989202,0.103100162886305,0.999537311363859,-4.59264325695508,"RPL35",11224,3060.93572222222,3713.467,652.531277777778
"ILMN_1658283",652.305143888889,1301.98630892857,2.13031054529461,0.03763425897787,0.999537311363859,-4.59025396301888,"RPL17",6139,1069.02018611111,1721.32533,652.305143888889
"ILMN_2098126",-633.954972222222,5495.31498214286,-1.3290378989846,0.189323168824521,0.999537311363859,-4.59401624551817,"CCL5",6352,5721.72747222222,5087.7725,633.954972222222
"ILMN_1673352",-632.631138888888,16252.0459464286,-0.80183720502083,0.426098340309051,0.999537311363859,-4.59564763287706,"IFITM2",10581,16477.9856388889,15845.3545,632.631138888888
"ILMN_1787949",619.709403333333,2188.56172857143,1.57678813725935,0.1205798016952,0.999537311363859,-4.59300426495766,"RPS15A",6210,1967.23694166667,2586.946345,619.709403333334
"ILMN_1667813",596.942228333333,1711.10731964286,1.55748843968824,0.125091158649595,0.999537311363859,-4.59308832065608,"LOC648000",648000,1497.91366666667,2094.855895,596.942228333334
"ILMN_2343775",-596.888088888889,13247.3145714286,-1.41750002056414,0.161977768499325,0.999537311363859,-4.59367186002194,"RPL38",6169,13460.4888888889,12863.6008,596.888088888889
"ILMN_2180519",-590.182033333334,9083.66078571429,-1.20461908591037,0.233508948562138,0.999537311363859,-4.59446748100955,"LOC729603",NA,9294.44008333333,8704.25805,590.182033333333
"ILMN_1706117",580.811292222222,1718.69673214286,1.71836471941755,0.0913557661571411,0.999537311363859,-4.59236189648853,"LOC391656",391656,1511.26412777778,2092.07542,580.811292222222
"ILMN_1788742",566.943343333333,2534.78500714286,1.56134005628593,0.124180191732366,0.999537311363859,-4.59307161437495,"LOC441246",441246,2332.30524166667,2899.248585,566.943343333333
"ILMN_1713266",565.965182222222,1874.187575,1.6615609361577,0.102291657960641,0.999537311363859,-4.59262500529468,"FAM46C",54855,1672.05715277778,2238.022335,565.965182222222
"ILMN_2208903",563.342098888889,2233.06326785714,1.8290316296691,0.0728187944574624,0.999537311363859,-4.59182928432922,"CD52",1043,2031.86966111111,2595.21176,563.342098888889
"ILMN_1805750",-562.273251111111,2630.45911071429,-1.03575418431257,0.304849826174569,0.999537311363859,-4.59501570825278,"IFITM3",10410,2831.27098611111,2268.997735,562.273251111111
"ILMN_1680437",560.035944444444,5573.49864285714,1.49395129154062,0.140904132145273,0.999537311363859,-4.59335892529135,"LOC731096",731096,5373.48580555556,5933.52175,560.035944444444
"ILMN_2087060",554.720762222222,2271.87308571429,1.40996728215112,0.164180029259747,0.999537311363859,-4.59370193200795,"TOMM7",54543,2073.75852777778,2628.47929,554.720762222222
"ILMN_1652955",553.370567222222,1878.69759821429,1.75151613491743,0.0854322675804886,0.999537311363859,-4.59220508844698,"LOC648622",648622,1681.06525277778,2234.43582,553.370567222222
"ILMN_1756360",553.165616666667,3969.68973214286,1.34831753245406,0.183083343094649,0.999537311363859,-4.59394283389222,"RPL35A",6165,3772.13058333333,4325.2962,553.165616666667
"ILMN_2099301",-549.773055555556,5562.63828571429,-1.42049207071891,0.161109400159405,0.999537311363859,-4.59365987703665,"UNC84B",25777,5758.98580555556,5209.21275,549.773055555556
"ILMN_1754303",542.430211111111,4624.73596428571,1.00424462676769,0.319658994822118,0.999537311363859,-4.59510959122503,"RPL30",6156,4431.01088888889,4973.4411,542.430211111111
"ILMN_2127842",-529.074333333335,21960.2257142857,-0.888007398878397,0.378404186726001,0.999537311363859,-4.59543247245463,"HBA2",3040,22149.1808333333,21620.1065,529.07433333333
"ILMN_1729033",521.96288,1043.33043928571,2.12771511747782,0.0378587386171042,0.999537311363859,-4.59026826832201,"RPL9",6133,856.915125,1378.878005,521.96288
"ILMN_1667114",519.477655555556,4322.06842857143,1.39734358348115,0.167922543762773,0.999537311363859,-4.59375201849935,"LOC388524",NA,4136.54069444444,4656.01835,519.477655555555
